trip_id,route_id,service_id,direction_id,shape_id,trip_short_name,trip_headsign,plk_category_code,plk_train_number,plk_train_name
PLK_IC_2026_210009068,IC_IC,PLK_175,,RAIL_295,3716/7 Fałat,Poznań Główny,IC,3716/7,FAŁAT
PLK_IC_2026_210310771,IC_IC,PLK_78,,RAIL_114,4512/3 Artus,Gdynia Główna,IC,4512/3,ARTUS
PLK_IC_2026_210944338,IC_EIC,PLK_388,,RAIL_845,249 Berlin-Warszawa-Express,Warszawa Wschodnia,EC/EIC,71000/1,BERLIN-WARSZAWA-EXPRESS
PLK_IC_2026_211938784,IC_IC,PLK_545,,RAIL_153,6140/1 Śnieżka,Warszawa Wschodnia,IC,6140/1,ŚNIEŻKA
PLK_IC_2026_212327990,IC_IC,PLK_78,,RAIL_97,56 Wawel,Berlin Hauptbahnhof,EC/IC,37002/3,WAWEL
PLK_IC_2026_212741363,IC_IC,PLK_254,,RAIL_238,8302/3 Chełmoński 133 Saxonia,Kraków Główny,IC,8302/3,CHEŁMOŃSKI 133 SAXONIA
PLK_IC_2026_214236175,IC_TLK,PLK_240,,RAIL_396,53170/1 Karpaty,Zakopane,TLK,53170/1,KARPATY
PLK_IC_2026_214343144,IC_IC,PLK_355,,RAIL_224,3534/5 Kazimierz,Bydgoszcz Główna,IC,3534/5,KAZIMIERZ
PLK_IC_2026_214519262,IC_IC,PLK_274,,RAIL_61,1420/1 Daszyński,Gliwice,IC,1420/1,DASZYŃSKI
PLK_IC_2026_214610645,IC_IC,PLK_203,,RAIL_129,130 Batory,Warszawa Wschodnia,EC/IC,41004/5,BATORY
PLK_IC_2026_214977136,IC_IC,PLK_2,,RAIL_307,263 Baltic Express,Praha hlavní nádraží,EC/IC,56002/3,BALTIC EXPRESS
PLK_IC_2026_215004217,IC_IC,PLK_235,,RAIL_153,6140/1 Śnieżka,Warszawa Wschodnia,IC,6140/1,ŚNIEŻKA
PLK_IC_2026_215096750_LEG0,IC_IC,PLK_319,,RAIL_150,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_215096750_LEG1,IC_IC_BUS,PLK_319,,,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_215096750_LEG2,IC_IC,PLK_319,,RAIL_328,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_215636193,IC_IC,PLK_254,,RAIL_150,1642/3 Fredro,Jelenia Góra,IC,1642/3,FREDRO
PLK_IC_2026_215783089,IC_IC,PLK_487,,RAIL_269,7206/7 Warta,Chełm,IC,7206/7,WARTA
PLK_IC_2026_216036544,IC_IC,PLK_294,,RAIL_201,1734/5 Starzyński,Poznań Główny,IC,1734/5,STARZYŃSKI
PLK_IC_2026_216533087,IC_EIC,PLK_1,,RAIL_844,248 Berlin-Warszawa-Express,Berlin Hauptbahnhof,EC/EIC,17000/1,BERLIN-WARSZAWA-EXPRESS
PLK_IC_2026_216657040,IC_EIC,PLK_251,,RAIL_844,48 Berlin-Warszawa-Express,Berlin Hauptbahnhof,EC/EIC,17004/5,BERLIN-WARSZAWA-EXPRESS
PLK_IC_2026_216727068,IC_IC,PLK_487,,RAIL_96,59 Galicja,Przemyśl Główny,EC/IC,73000/1,GALICJA
PLK_IC_2026_216760348,IC_IC,PLK_175,,RAIL_163,5116/7 Wybrzeże,Łódź Fabryczna,IC,5116/7,WYBRZEŻE
PLK_IC_2026_217114434,IC_IC,PLK_531,,RAIL_177,3528/9 Kolberg,Olsztyn Główny,IC,3528/9,KOLBERG
PLK_IC_2026_217364992,IC_IC,PLK_66,,RAIL_170,3604/5 Grottger,Wrocław Główny,IC,3604/5,GROTTGER
PLK_IC_2026_217481230,IC_IC,PLK_340,,RAIL_74,6130/1 Nałkowska,Białystok,IC,6130/1,NAŁKOWSKA
PLK_IC_2026_218002735,IC_IC,PLK_319,,RAIL_171,17141 Malta,Poznań Główny,ICN,17141,MALTA
PLK_IC_2026_218160218,IC_IC,PLK_52,,RAIL_279,1908/9 Uszatek,Łódź Fabryczna,IC,1908/9,USZATEK
PLK_IC_2026_218589427,IC_IC,PLK_252,,RAIL_127,1322/3 Kinga,Kraków Główny,IC,1322/3,KINGA
PLK_IC_2026_218915730,IC_IC,PLK_521,,RAIL_256,6502/3 Mamry,Olsztyn Główny,IC,6502/3,MAMRY
